month,level_1,level_2,level_3,level_4,value
1994-12,M3,M2,Quasi-money,Fixed Deposits,53622.8
1994-12,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,596.2
1994-12,M3,M2,Quasi-money,Savings & Other Deposits,16168.2
1995-01,M3,M2,M1,Currency In Active Circulation,9603.1
1995-01,M3,M2,M1,Demand Deposits,14279.1
1995-01,M3,M2,Quasi-money,Fixed Deposits,52536.8
1995-01,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,601.2
1995-01,M3,M2,Quasi-money,Savings & Other Deposits,16619.8
1995-02,M3,M2,M1,Currency In Active Circulation,9503.9
1995-02,M3,M2,M1,Demand Deposits,14011.1
1995-02,M3,M2,Quasi-money,Fixed Deposits,53156.3
1995-02,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,607.2
1995-02,M3,M2,Quasi-money,Savings & Other Deposits,17133.9
1995-03,M3,M2,M1,Currency In Active Circulation,9404.7
1995-03,M3,M2,M1,Demand Deposits,14211.3
1995-03,M3,M2,Quasi-money,Fixed Deposits,52465.3
1995-03,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,589.2
1995-03,M3,M2,Quasi-money,Savings & Other Deposits,17701.9
1995-04,M3,M2,M1,Currency In Active Circulation,9508.3
1995-04,M3,M2,M1,Demand Deposits,14795.7
1995-04,M3,M2,Quasi-money,Fixed Deposits,52553.6
1995-04,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,590.2
1995-04,M3,M2,Quasi-money,Savings & Other Deposits,18198.5
1995-05,M3,M2,M1,Currency In Active Circulation,9469.9
1995-05,M3,M2,M1,Demand Deposits,16798.3
1995-05,M3,M2,Quasi-money,Fixed Deposits,51650.9
1995-05,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,590
1995-05,M3,M2,Quasi-money,Savings & Other Deposits,19204.8
1995-06,M3,M2,M1,Currency In Active Circulation,9603.7
1995-06,M3,M2,M1,Demand Deposits,15105.4
1995-06,M3,M2,Quasi-money,Fixed Deposits,53558.7
1995-06,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,767.5
1995-06,M3,M2,Quasi-money,Savings & Other Deposits,19124.3
1995-07,M3,M2,M1,Currency In Active Circulation,9626.7
1995-07,M3,M2,M1,Demand Deposits,15006
1995-07,M3,M2,Quasi-money,Fixed Deposits,52350.8
1995-07,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,853
1995-07,M3,M2,Quasi-money,Savings & Other Deposits,19597.9
1995-08,M3,M2,M1,Currency In Active Circulation,9665.9
1995-08,M3,M2,M1,Demand Deposits,15258.4
1995-08,M3,M2,Quasi-money,Fixed Deposits,52665.2
1995-08,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,851
1995-08,M3,M2,Quasi-money,Savings & Other Deposits,20017
1995-09,M3,M2,M1,Currency In Active Circulation,9775.2
1995-09,M3,M2,M1,Demand Deposits,15097.1
1995-09,M3,M2,Quasi-money,Fixed Deposits,52858.6
1995-09,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,851
1995-09,M3,M2,Quasi-money,Savings & Other Deposits,20249.9
1995-10,M3,M2,M1,Currency In Active Circulation,9695.6
1995-10,M3,M2,M1,Demand Deposits,15030.3
1995-10,M3,M2,Quasi-money,Fixed Deposits,52878.5
1995-10,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,842.5
1995-10,M3,M2,Quasi-money,Savings & Other Deposits,20507.7
1995-11,M3,M2,M1,Currency In Active Circulation,9771.7
1995-11,M3,M2,M1,Demand Deposits,15032.3
1995-11,M3,M2,Quasi-money,Fixed Deposits,54558.6
1995-11,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,815.1
1995-11,M3,M2,Quasi-money,Savings & Other Deposits,20733.9
1995-12,M3,M2,M1,Currency In Active Circulation,9839.2
1995-12,M3,M2,M1,Demand Deposits,15265.3
1995-12,M3,M2,Quasi-money,Fixed Deposits,54908.2
1995-12,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,815.1
1995-12,M3,M2,Quasi-money,Savings & Other Deposits,20703.7
1996-01,M3,M2,M1,Currency In Active Circulation,9571.4
1996-01,M3,M2,M1,Demand Deposits,15842.6
1996-01,M3,M2,Quasi-money,Fixed Deposits,52979.9
1996-01,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,804.1
1996-01,M3,M2,Quasi-money,Savings & Other Deposits,21446.5
1996-02,M3,M2,M1,Currency In Active Circulation,9751.6
1996-02,M3,M2,M1,Demand Deposits,16108.9
1996-02,M3,M2,Quasi-money,Fixed Deposits,53471.5
1996-02,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,811.1
1996-02,M3,M2,Quasi-money,Savings & Other Deposits,21897.2
1996-03,M3,M2,M1,Currency In Active Circulation,9835.9
1996-03,M3,M2,M1,Demand Deposits,15655.6
1996-03,M3,M2,Quasi-money,Fixed Deposits,55876.5
1996-03,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,798.1
1996-03,M3,M2,Quasi-money,Savings & Other Deposits,22027.8
1996-04,M3,M2,M1,Currency In Active Circulation,9977.1
1996-04,M3,M2,M1,Demand Deposits,16432.6
1996-04,M3,M2,Quasi-money,Fixed Deposits,55775
1996-04,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,798.1
1996-04,M3,M2,Quasi-money,Savings & Other Deposits,22650.6
1996-05,M3,M2,M1,Currency In Active Circulation,10006.5
1996-05,M3,M2,M1,Demand Deposits,16323.7
1996-05,M3,M2,Quasi-money,Fixed Deposits,57026.8
1996-05,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,789.1
1996-05,M3,M2,Quasi-money,Savings & Other Deposits,22901.3
1996-06,M3,M2,M1,Currency In Active Circulation,10051.2
1996-06,M3,M2,M1,Demand Deposits,16335.9
1996-06,M3,M2,Quasi-money,Fixed Deposits,57568.3
1996-06,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,787.1
1996-06,M3,M2,Quasi-money,Savings & Other Deposits,23051.5
1996-07,M3,M2,M1,Currency In Active Circulation,10017.1
1996-07,M3,M2,M1,Demand Deposits,16547.7
1996-07,M3,M2,Quasi-money,Fixed Deposits,58843.1
1996-07,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,782
1996-07,M3,M2,Quasi-money,Savings & Other Deposits,23176.5
1996-08,M3,M2,M1,Currency In Active Circulation,10094.5
